league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,Blue Ridge League,regular,P3430801,Agnew,,Frederick,1915-06-04,1915-08-17,14,0,0,14,0,0,0,0,0,0,0,0
1915,Blue Ridge League,regular,P0884435,Agney,,Frederick,1915-07-22,1915-07-22,1,0,0,1,0,0,0,0,0,0,0,0
1915,Blue Ridge League,regular,P0469057,Barnhard,,Frederick,1915-05-28,1915-05-28,1,0,0,0,1,0,0,0,0,0,0,0
1915,Blue Ridge League,regular,P0098129,Barnhart,,Frederick,1915-05-29,1915-08-17,16,0,0,0,16,0,0,0,0,0,0,0
1915,Blue Ridge League,regular,P2428760,Barton,,Hagerstown,1915-08-03,1915-08-25,8,7,0,0,1,1,0,0,0,0,0,7
1915,Blue Ridge League,regular,P9365380,Bashore,,Gettysburg,1915-07-03,1915-08-23,7,0,1,0,0,0,6,1,3,2,0,0
1915,Blue Ridge League,regular,P3662556,Basore,,Gettysburg,1915-07-27,1915-08-19,2,0,0,1,0,0,2,0,2,0,0,0
1915,Blue Ridge League,regular,P1959149,Bauer,,Martinsburg,1915-06-07,1915-06-07,1,0,0,1,0,0,0,0,0,0,0,0
1915,Blue Ridge League,regular,P2080671,Beall,,Frederick,1915-05-31,1915-05-31,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,regular,P3512058,Bigeler,,Gettysburg,1915-07-03,1915-07-03,1,0,0,0,1,0,0,0,0,0,0,0
1915,Blue Ridge League,regular,P7002357,Bigler,,Gettysburg,1915-06-14,1915-08-23,11,0,0,0,10,0,0,0,0,0,1,0
1915,Blue Ridge League,regular,P2354690,Bitters,,Chambersburg,1915-05-28,1915-06-21,6,6,0,0,0,0,0,0,0,0,0,6
1915,Blue Ridge League,regular,P6806679,Blunt,,Hagerstown,1915-06-07,1915-07-01,16,0,0,0,0,0,6,6,0,0,9,0
1915,Blue Ridge League,regular,P6343210,Bove,,Martinsburg,1915-05-28,1915-05-28,1,0,0,1,0,0,0,0,0,0,0,0
1915,Blue Ridge League,regular,P7651008,Boyd,,Hagerstown,1915-06-25,1915-07-26,7,7,0,0,0,0,0,0,0,0,0,7
1915,Blue Ridge League,regular,P2277276,Boyne,,Frederick,1915-05-28,1915-07-24,12,0,12,0,0,0,0,0,0,0,0,0
1915,Blue Ridge League,regular,P1309245,Boyne,,Gettysburg,1915-08-18,1915-08-23,3,0,3,0,0,0,0,0,0,0,0,0
1915,Blue Ridge League,regular,P3820455,Bream,,Gettysburg,1915-06-10,1915-06-14,2,0,0,0,0,0,2,2,0,0,0,0
1915,Blue Ridge League,regular,P6805416,Brean,,Gettysburg,1915-06-09,1915-06-09,1,0,0,0,0,0,1,1,0,0,0,0
1915,Blue Ridge League,regular,P7977274,Bunting,,Hanover,1915-07-29,1915-08-25,7,0,1,6,0,0,1,0,0,1,0,0
1915,Blue Ridge League,regular,P0939490,Burborrow,,Martinsburg,1915-06-26,1915-06-26,1,0,0,0,0,0,1,0,1,0,0,0
1915,Blue Ridge League,regular,P2001738,Burns,,Gettysburg,1915-06-21,1915-07-03,3,2,0,0,0,0,1,0,0,1,0,2
1915,Blue Ridge League,regular,P6952527,Carroll,,Gettysburg,1915-05-29,1915-05-29,1,0,0,0,0,1,0,0,0,0,0,0
1915,Blue Ridge League,regular,P4266604,Clank,,Hanover,1915-07-10,1915-07-10,1,0,0,0,0,0,1,0,1,0,0,0
1915,Blue Ridge League,regular,P8756459,Clark,,Martinsburg,1915-06-26,1915-08-25,13,13,0,0,0,0,0,0,0,0,0,13
1915,Blue Ridge League,regular,P2668688,Clarke,,Martinsburg,1915-08-21,1915-08-21,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,regular,P0842062,Clay,,Chambersburg,1915-06-21,1915-07-14,5,0,0,0,0,0,5,0,0,5,0,0
