key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14
df2f3dd4-534f-57b0-b62a-43c860168c47,1912-04-12,0,Texas,,Fort Worth,4,,Austin,11,,,1:55,,,,transcript/1912/1912-DMN/boxes/DMN-19120413.txt,,1,0,0,1,0,0,0,2,0,,,,,,1,0,0,0,2,5,0,3,x,,,,,
269e7af2-ef3d-54ed-b821-f28e19f0b049,1912-04-12,0,Texas,,San Antonio,5,,Beaumont,6,,3000,2:15,,,,transcript/1912/1912-DMN/boxes/DMN-19120413.txt,,0,2,0,0,1,0,0,0,2,,,,,,0,2,3,0,0,0,0,1,x,,,,,
50801350-3bf6-5128-acee-d9073aaa1d8b,1912-04-12,0,Texas,,Houston,1,,Galveston,0,,,1:43,,,,transcript/1912/1912-DMN/boxes/DMN-19120413.txt,,1,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,
22b16738-33c7-57e8-a3b7-bb12fd19de1c,1912-04-12,0,Texas,,Dallas,2,,Waco,6,,3000,1:50,,,,transcript/1912/1912-DMN/boxes/DMN-19120413.txt,,0,0,0,0,2,0,0,0,0,,,,,,1,2,0,0,0,0,0,3,x,,,,,
fbdb8696-5348-510c-9e49-1517896203c9,1912-04-13,0,Texas,,Fort Worth,2,,Austin,3,,,1:40,,,,transcript/1912/1912-DMN/boxes/DMN-19120414.txt,,0,0,1,0,0,0,0,1,0,,,,,,0,0,0,0,0,0,2,1,x,,,,,
ff8301f7-98a3-5edd-85fb-3cdf7aa60f8d,1912-04-13,0,Texas,,San Antonio,2,,Beaumont,1,,,1:50,,,,transcript/1912/1912-DMN/boxes/DMN-19120414.txt,,0,0,2,0,0,0,0,0,0,,,,,,0,1,0,0,0,0,0,0,0,,,,,
b166f708-4669-5608-87eb-ccc16b3a7815,1912-04-13,0,Texas,,Houston,0,,Galveston,1,,,1:44,,,,transcript/1912/1912-DMN/boxes/DMN-19120414.txt,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,0,0,x,,,,,
a4fc3288-2390-5b93-a66a-8d948a3a4bba,1912-04-13,0,Texas,,Dallas,4,,Waco,3,,,1:50,,,,transcript/1912/1912-DMN/boxes/DMN-19120414.txt,,1,0,2,0,0,0,0,1,0,,,,,,1,0,0,0,0,0,0,1,1,,,,,
769e53a5-e9c6-5e10-a91f-dcc012771e58,1912-04-14,0,Texas,,Fort Worth,1,,Austin,7,,,1:30,,,,transcript/1912/1912-DMN/boxes/DMN-19120415.txt,,0,0,0,0,1,0,0,0,0,,,,,,3,0,2,0,0,0,2,0,x,,,,,
25fe16cf-f098-58bc-9ff8-17cb2d188422,1912-04-14,0,Texas,,San Antonio,1,,Beaumont,6,,,1:50,,,,transcript/1912/1912-DMN/boxes/DMN-19120415.txt,,0,0,0,0,0,0,0,1,0,,,,,,1,2,0,1,1,0,1,0,x,,,,,
ae29da6a-46d1-53c7-9835-51071ad18335,1912-04-14,0,Texas,,Houston,8,,Galveston,3,,3000,2:13,,,,transcript/1912/1912-DMN/boxes/DMN-19120415.txt,,5,1,0,0,1,0,0,1,0,,,,,,2,0,0,0,0,0,1,0,0,,,,,
8ead1453-7cd5-5609-97ff-cdd4f5e57b19,1912-04-14,0,Texas,,Dallas,5,,Waco,6,,,2:20,,,,transcript/1912/1912-DMN/boxes/DMN-19120415.txt,,1,0,0,0,3,1,0,0,0,,,,,,0,0,0,2,0,1,3,1,x,,,,,
5ddaef17-78da-538f-a475-217b674eade3,1912-04-15,0,Texas,,Fort Worth,2,,Austin,4,,,1:30,,,,transcript/1912/1912-DMN/boxes/DMN-19120416.txt,,2,0,0,0,0,0,0,0,0,,,,,,0,3,0,0,0,0,1,0,x,,,,,
6d88c653-6558-5527-9c23-6470cc3d9a1e,1912-04-15,0,Texas,,San Antonio,,,Beaumont,,,,,,postponed,wet grounds,transcript/1912/1912-DMN/boxes/DMN-19120416.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480d5495-acf9-56ce-9bb8-2db9a89da31b,1912-04-15,0,Texas,,Houston,11,,Galveston,3,,,1:47,,,,transcript/1912/1912-DMN/boxes/DMN-19120416.txt,,0,0,1,1,2,0,0,3,4,,,,,,3,0,0,0,0,0,0,0,0,,,,,
0788470b-56e4-5b96-9be7-d4de01b62a3e,1912-04-15,0,Texas,,Dallas,1,,Waco,3,,,1:50,,,,transcript/1912/1912-DMN/boxes/DMN-19120416.txt,,0,0,0,0,0,1,0,0,0,,,,,,0,0,1,2,0,0,0,0,x,,,,,
eb9aa625-ddc5-5d36-99df-5bbd40420562,1912-04-16,0,Texas,,Dallas,7,,Austin,1,,,1:40,,,,transcript/1912/1912-DMN/boxes/DMN-19120417.txt,,1,0,0,0,1,1,1,3,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,
f8692e64-39ee-5d60-abc4-cbc760a4316b,1912-04-16,0,Texas,,Houston,,,Beaumont,,,,,,postponed,wet grounds,transcript/1912/1912-DMN/boxes/DMN-19120417.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7074b8e1-6e6c-55ee-bd23-fb757a01cdd9,1912-04-16,0,Texas,,San Antonio,,,Galveston,,,,,,postponed,rain,transcript/1912/1912-DMN/boxes/DMN-19120417.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48511a90-1bd0-5f0d-bdb7-e9d4371d1aa1,1912-04-16,0,Texas,,Fort Worth,2,,Waco,3,,,2:10,,,,transcript/1912/1912-DMN/boxes/DMN-19120417.txt,,0,0,0,0,1,0,0,0,1,,,,,,0,0,0,0,2,0,0,0,1,,,,,
28485e56-2938-570c-9b89-74160489b10a,1912-04-17,0,Texas,,Dallas,3,,Austin,5,,,2:00,,,,transcript/1912/1912-DMN/boxes/DMN-19120418.txt,,0,0,0,0,0,3,0,0,0,,,,,,0,0,0,0,3,1,0,1,x,,,,,
