game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first
TXJCZSB,1910,Carolina Association,1910-05-11,0,regular,P9277760,Mackay,
LBFQPVJ,1910,Carolina Association,1910-05-11,0,regular,P7578129,McLoskey,
YRRDMGN,1910,Carolina Association,1910-05-11,0,regular,P4805812,Handibou,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P6885572,Mackey,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P4805812,Handibou,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P7578129,McLoskey,
VKNGRJR,1910,Carolina Association,1910-05-13,0,regular,P6913956,Handiboe,
WSTVDJF,1910,Carolina Association,1910-05-14,0,regular,P7578129,McLoskey,
GDTYLGW,1910,Carolina Association,1910-05-14,0,regular,P6885572,Mackey,
VDQXNYV,1910,Carolina Association,1910-05-14,0,regular,P6913956,Handiboe,
NBPVXYD,1910,Carolina Association,1910-05-16,0,regular,P7578129,McLoskey,
GLHNXRL,1910,Carolina Association,1910-05-16,0,regular,P6913956,Handiboe,
ZWPWYXB,1910,Carolina Association,1910-05-16,0,regular,P6885572,Mackey,
WLGWXJQ,1910,Carolina Association,1910-05-17,0,regular,P7578129,McLoskey,
XNWVCYW,1910,Carolina Association,1910-05-17,0,regular,P6913956,Handiboe,
LYTVDXL,1910,Carolina Association,1910-05-17,0,regular,P6885572,Mackey,
NNQDFNN,1910,Carolina Association,1910-05-18,0,regular,P7578129,McLoskey,
WKRQZYZ,1910,Carolina Association,1910-05-18,0,regular,P6885572,Mackey,
MSNHBKT,1910,Carolina Association,1910-05-18,0,regular,P6913956,Handiboe,
XYYPRYN,1910,Carolina Association,1910-05-19,0,regular,P7578129,McLoskey,
WLDFYKP,1910,Carolina Association,1910-05-19,0,regular,P6885572,Mackey,
JSNLTYM,1910,Carolina Association,1910-05-19,0,regular,P6913956,Handiboe,
WWNNPSY,1910,Carolina Association,1910-05-20,0,regular,P6913956,Handiboe,
NCQGKSB,1910,Carolina Association,1910-05-20,0,regular,P0346480,Mathis,
MTFJTNX,1910,Carolina Association,1910-05-20,0,regular,P9653590,Tony Walters,
MTFJTNX,1910,Carolina Association,1910-05-20,0,regular,P7099447,Clark,
FTGJGRQ,1910,Carolina Association,1910-05-21,0,regular,P6913956,Handiboe,
TPCRLDV,1910,Carolina Association,1910-05-21,0,regular,P7578129,McLoskey,
SVSYSWJ,1910,Carolina Association,1910-05-21,0,regular,P6885572,Mackey,
FKLVYGS,1910,Carolina Association,1910-05-23,0,regular,P6913956,Handiboe,
MNBFVPK,1910,Carolina Association,1910-05-23,0,regular,P6885572,Mackey,
MFMXPKT,1910,Carolina Association,1910-05-23,0,regular,P7578129,McLoskey,
SHGWSJT,1910,Carolina Association,1910-05-24,0,regular,P6913956,Handiboe,
XHMBHCW,1910,Carolina Association,1910-05-24,0,regular,P6885572,Mackey,
JZCHHJQ,1910,Carolina Association,1910-06-03,0,regular,P6913956,Handiboe,
PJVWBLN,1910,Carolina Association,1910-06-03,0,regular,P6885572,Mackey,
QLCSYWX,1910,Carolina Association,1910-06-03,0,regular,P8167078,Rudderham,
HHSKNGV,1910,Carolina Association,1910-06-04,0,regular,P6913956,Handiboe,
ZGRLQDG,1910,Carolina Association,1910-06-04,0,regular,P6885572,Mackey,
JDRBKQP,1910,Carolina Association,1910-06-04,0,regular,P3259810,Ruddenham,
MTKPQKK,1910,Carolina Association,1910-06-06,0,regular,P9277760,Mackay,
HTYJCNX,1910,Carolina Association,1910-06-06,0,regular,P3259810,Ruddenham,
KYFTGVL,1910,Carolina Association,1910-06-06,0,regular,P6913956,Handiboe,
VGPSKBG,1910,Carolina Association,1910-06-08,1,regular,P6885572,Mackey,
LXRWHJT,1910,Carolina Association,1910-06-08,2,regular,P6885572,Mackey,
MPBHXWH,1910,Carolina Association,1910-06-08,1,regular,P6913956,Handiboe,
WFSMBSL,1910,Carolina Association,1910-06-08,2,regular,P6913956,Handiboe,
FFLHDFT,1910,Carolina Association,1910-06-08,1,regular,P8167078,Rudderham,
DNJGNSC,1910,Carolina Association,1910-06-08,2,regular,P8167078,Rudderham,
TKYKMQN,1910,Carolina Association,1910-06-09,0,regular,P6885572,Mackey,
KGKDBQL,1910,Carolina Association,1910-06-09,0,regular,P6913956,Handiboe,
QPMJFYJ,1910,Carolina Association,1910-06-09,0,regular,P6913956,Handiboe,
JNJFSJK,1910,Carolina Association,1910-06-10,0,regular,P8167078,Rudderham,
DSHXVMW,1910,Carolina Association,1910-06-10,0,regular,P6913956,Handiboe,
DYWDTTD,1910,Carolina Association,1910-06-11,0,regular,P3259810,Ruddenham,
NZHQLSG,1910,Carolina Association,1910-06-11,1,regular,P6885572,Mackey,
SHHMFFK,1910,Carolina Association,1910-06-11,2,regular,P6885572,Mackey,
PYNXWZN,1910,Carolina Association,1910-06-11,0,regular,P6913956,Handiboe,
WJRTXQF,1910,Carolina Association,1910-06-14,0,regular,P6885572,Mackey,
WZRJTZC,1910,Carolina Association,1910-06-14,0,regular,P8167078,Rudderham,
HCRNXGD,1910,Carolina Association,1910-06-15,0,regular,P6913956,Handiboe,
CMCSYQY,1910,Carolina Association,1910-06-15,1,regular,P8167078,Rudderham,
PDWJRDW,1910,Carolina Association,1910-06-15,2,regular,P8167078,Rudderham,
